,group,cell_name,sweep_num,input_current,rest_potential,stim_potential,t_first_spike,t_last_spike,f_rate,AP_amp,AP_adaptation,AP_rise_slope,t_hyperpol,v_hyperpol
16,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,3,200.0,-87.9612045288086,-63.65532684326172,6.299999999999997,488.80000000000007,72.53886010362692,37.97413214416212,47.33366308213516,191.5309295654297,0.9941176470588234,-86.17647058823529
17,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,4,400.0,-89.04692077636719,-57.35398864746094,3.0999999999999943,498.80000000000007,131.12769820455918,35.722009199008866,58.75642965995704,170.69326782226562,1.0203125,-81.140625
18,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,5,600.0,-89.82673645019531,-52.69911193847656,2.1999999999999886,498.4,169.28657799274484,33.42153890252613,88.00589608273735,148.62478637695312,1.039759036144578,-76.25301204819277
19,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,6,800.0,-89.97543334960938,-48.52660369873047,1.6999999999999886,499.80000000000007,194.7400120457739,31.28901093884027,106.71781358252,127.27230072021484,1.0624999999999998,-71.41666666666667
20,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,7,1000.0,-90.7049331665039,-44.68973922729492,1.3999999999999915,499.6,208.7515054195102,28.497850489854816,134.75018945070207,104.8155517578125,1.1019417475728155,-66.39805825242719
21,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,8,1200.0,-90.70697784423828,-40.108001708984375,1.1999999999999886,419.6,227.05544933078392,25.336202547576548,362.5137087623848,84.21292877197266,1.1043478260869564,-61.68478260869565
22,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,9,1400.0,-90.39535522460938,-35.26670455932617,1.1000000000000085,254.89999999999998,248.22695035460995,28.144712360790894,170.20211949720513,76.5799789428711,1.1,-58.5
23,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,10,1600.0,-86.81220245361328,-31.66226577758789,0.8999999999999915,157.59999999999997,268.0280791320996,31.010807137523845,115.29429981150409,75.50447845458984,1.0921052631578951,-55.473684210526315
24,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,11,1800.0,-88.52113342285156,-29.316125869750977,0.8999999999999915,118.39999999999999,280.8510638297873,35.47682722742506,48.99703316537615,71.807861328125,1.0827586206896553,-52.51724137931034
25,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,12,2000.0,-85.33155822753906,-26.767684936523438,0.6999999999999886,85.60000000000001,294.46407538280323,37.04650165745632,38.446396324094685,72.0672607421875,1.072727272727273,-49.77272727272727
26,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,0,-400.0,-71.73885345458984,-103.90985107421875,,,0,,,,,
27,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1,-200.0,-70.71223449707031,-91.4774398803711,,,0,,,,,
28,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,2,0.0,-69.74179077148438,-69.74179077148438,,,0,,,,,
29,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,3,200.0,-70.02999877929688,-45.39415740966797,19.700000000000003,482.70000000000005,47.516198704103665,26.61817504865366,160.91420040230614,130.157470703125,0.961904761904762,-59.76190476190476
30,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,4,400.0,-70.19037628173828,-39.997066497802734,6.299999999999997,498.70000000000005,115.75954508529648,28.413184085745606,90.81559788647526,114.56539916992188,0.9892857142857144,-55.25
31,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,5,600.0,-70.98528289794922,-36.08820724487305,4.099999999999994,493.1,161.55419222903882,28.126289181403877,71.86379594090695,98.05220794677734,1.0294871794871792,-51.217948717948715
32,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,6,800.0,-71.78030395507812,-32.4643440246582,2.6999999999999886,496.70000000000005,184.21052631578945,26.814020632299936,77.13094837295525,77.34947967529297,1.131111111111111,-47.044444444444444
33,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,7,1000.0,-70.76176452636719,-27.580385208129883,2.0999999999999943,229.7,224.07732864674864,25.910200282115042,140.55673450737655,68.90241241455078,1.0714285714285714,-43.734693877551024
34,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,8,1200.0,-70.76524353027344,-24.321826934814453,1.6000000000000085,121.7,249.79184013322234,26.931357462988984,291.6595295663788,68.2195053100586,1.0500000000000003,-41.75
35,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,9,1400.0,-70.61888885498047,-21.922962188720703,1.3999999999999915,95.7,254.50689289501588,28.853848232653906,72.39018236951955,64.26811218261719,1.054545454545455,-39.40909090909091
36,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,10,1600.0,-70.32345581054688,-19.74732208251953,1.1000000000000085,72.39999999999999,280.5049088359047,31.42587204017267,38.07893426351267,62.831878662109375,1.0473684210526317,-36.68421052631579
37,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,11,1800.0,-69.9407730102539,-17.69269371032715,1.0,54.89999999999999,296.8460111317255,35.86125252964884,20.27905799128197,63.90571594238281,1.0733333333333333,-34.46666666666667
38,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,12,2000.0,-69.84615325927734,-16.291765213012695,0.8999999999999915,42.60000000000001,311.75059952038356,39.41761906975448,13.284173032985837,65.04939270019531,1.0384615384615385,-33.07692307692308
39,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,0,-400.0,-71.5302505493164,-108.62577819824219,,,0,,,,,
40,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1,-200.0,-71.79931640625,-96.13150024414062,,,0,,,,,
41,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,2,0.0,-68.40509033203125,-68.40509033203125,,,0,,,,,
42,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,3,200.0,-68.57840728759766,-45.62512969970703,,,0,,,,,
43,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,4,400.0,-69.58222198486328,-36.3928337097168,,,0,,,,,
44,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,5,600.0,-69.337890625,-37.60662078857422,2.4000000000000057,494.0,158.66558177379983,27.110167421005904,77.88640279371319,108.01853942871094,1.168831168831169,-53.701298701298704
45,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,6,800.0,-71.78058624267578,-33.62742233276367,2.0,494.70000000000005,184.69656992084433,25.875702679078408,85.37268186614486,94.27333068847656,1.1888888888888889,-49.34444444444444
46,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,7,1000.0,-72.17298126220703,-29.60602569580078,1.6000000000000085,496.70000000000005,199.9596041203797,24.552224430231448,140.45535003336414,74.27870178222656,1.2102040816326534,-44.734693877551024
47,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,8,1200.0,-73.33870697021484,-24.80010414123535,1.3999999999999915,343.59999999999997,213.32554061952075,23.30465548393228,451.73502604261955,60.824039459228516,1.2253521126760567,-40.61971830985915
48,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,9,1400.0,-73.56375885009766,-21.061717987060547,1.2999999999999972,185.79999999999995,227.64227642276427,25.038926582263805,442.1608358108369,61.89073944091797,1.180487804878049,-38.1219512195122
49,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,10,1600.0,-73.43852233886719,-17.90635871887207,1.1000000000000085,112.8,259.62399283795884,29.6866103580769,77.48756637202261,60.932552337646484,1.1689655172413795,-34.96551724137931
50,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,11,1800.0,-72.56124114990234,-15.387737274169922,1.0,88.10000000000001,275.5453501722158,32.15232997909095,45.05697898252578,58.7526969909668,1.1500000000000001,-32.125
51,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,12,2000.0,-72.56559753417969,-12.673852920532227,0.8999999999999915,66.2,290.9647779479326,34.25858944341772,35.249265536518294,58.268497467041016,1.1263157894736842,-29.36842105263158
52,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,0,-400.0,-72.99471282958984,-92.79397583007812,,,0,,,,,
53,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,1,-200.0,-72.71507263183594,-84.59832763671875,,,0,,,,,
54,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,2,0.0,-73.01651000976562,-73.01651000976562,,,0,,,,,
55,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,3,200.0,-72.98229217529297,-51.49428176879883,,,0,,,,,
56,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,4,400.0,-73.13349914550781,-39.380123138427734,,,0,,,,,
57,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,5,600.0,-73.15472412109375,-33.51737594604492,5.599999999999994,307.0,56.4034505640345,30.789906755629126,90.8694223741317,141.61053466796875,0.9125000000000001,-50.9375
58,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,6,800.0,-73.55166625976562,-32.792572021484375,3.9000000000000057,494.29999999999995,126.4274061990212,31.357603950125164,144.0629528394486,125.44940185546875,0.9524590163934428,-46.52459016393443
59,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,7,1000.0,-74.27265167236328,-29.297693252563477,3.1999999999999886,499.80000000000007,159.08175594039466,32.69864391128046,95.03960379195995,118.25753784179688,0.9756410256410256,-43.05128205128205
60,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,8,1200.0,-74.74612426757812,-25.8526668548584,2.6999999999999886,499.80000000000007,183.06175819754574,34.08210033379286,78.49037451510999,109.27975463867188,1.001111111111111,-39.71111111111111
61,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,9,1400.0,-75.08969116210938,-22.467248916625977,2.299999999999997,497.4,201.97939810139366,35.0850387453892,84.70554807792243,100.1563949584961,1.0333333333333332,-36.2020202020202
62,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,10,1600.0,-75.34662628173828,-19.144596099853516,2.0,499.80000000000007,214.9457613499397,35.741935373784145,85.18454700752089,88.8189926147461,1.0603773584905658,-32.89622641509434
63,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,11,1800.0,-75.45819854736328,-15.835521697998047,1.7999999999999972,497.1,226.12558045628907,36.465421580070775,97.07309870986244,77.90837860107422,1.0756756756756756,-29.28828828828829
64,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,12,2000.0,-75.52796173095703,-12.42739200592041,1.5,499.9,232.74478330658107,36.39324806177239,131.20464576708423,66.40335845947266,2.3232758620689653,-25.95689655172414
